RegionType,RegionName,StateName,MSAName,AllHomes_Tier1,AllHomes_Tier2,AllHomes_Tier3,AllHomes_AllTiers,UWHomes_Tier1,UWHomes_Tier2,UWHomes_Tier3,UWHomes_AllTiers,UWHomes_TotalValue_Tier1,UWHomes_TotalValue_Tier2,UWHomes_TotalValue_Tier3,UWHomes_TotalValue_AllTiers,UWHomes_MedianValue_AllTiers,AllHomes_Tier1_ShareUW,AllHomes_Tier2_ShareUW,AllHomes_Tier3_ShareUW,AllHomes_AllTiers_ShareUW,UWHomes_ShareInTier1,UWHomes_ShareInTier2,UWHomes_ShareInTier3
Zip,33957,Florida,NA,2395,2397,2403,7195,1856,2043,2176,6075,918666788,1508288984,3207634656,5634590428,759479,0.774947808,0.852315394,0.905534748,0.844336345,0.305514403,0.336296296,0.3581893
Zip,33980,Florida,NA,2679,1571,792,5042,415,104,83,602,55316017,25044129,52557892,132918038,159019,0.154908548,0.066199873,0.10479798,0.119397065,0.689368771,0.172757475,0.137873754
Zip,33981,Florida,NA,1329,1547,3349,6225,19,65,585,669,2167418,12254624,231468757,245890799,337450,0.014296464,0.042016807,0.174679009,0.10746988,0.028400598,0.09715994,0.874439462
Zip,33982,Florida,NA,1708,806,900,3414,339,35,94,468,33147818,8459040,64281631,105888489,115816,0.198477752,0.043424318,0.104444444,0.137082601,0.724358974,0.074786325,0.200854701
Zip,33983,Florida,NA,2068,4169,1005,7242,38,48,77,163,5163221,11422719,33957657,50543597,275435,0.018375242,0.011513552,0.076616915,0.022507595,0.233128834,0.294478528,0.472392638
Zip,33990,Florida,NA,4086,4197,3254,11537,455,283,92,830,58030038,59842104,38843833,156715975,181214.5,0.111355849,0.067429116,0.028272895,0.071942446,0.548192771,0.340963855,0.110843373
Zip,33991,Florida,NA,2074,3977,2737,8788,30,127,307,464,4164346,31457663,129764139,165386148,334096.5,0.014464802,0.031933618,0.112166606,0.052799272,0.064655172,0.273706897,0.661637931
Zip,33993,Florida,NA,3528,3832,2519,9879,33,97,624,754,5222923,24229929,294602673,324055525,402808.5,0.009353741,0.025313152,0.247717348,0.076323515,0.043766578,0.128647215,0.827586207
Zip,34102,Florida,NA,370,2355,5689,8414,215,1483,2396,4094,43732379,555003411,5513549219,6112285009,586996.5,0.581081081,0.629723992,0.421163649,0.486570002,0.052515877,0.362237421,0.585246702
Zip,34103,Florida,NA,1198,2300,6316,9814,0,294,2284,2578,0,129878840,3855389642,3985268482,1052141.5,0,0.127826087,0.361621279,0.262685959,0,0.114041893,0.885958107
Zip,34104,Florida,NA,7272,3637,1452,12361,509,304,143,956,97840903,103383438,103491726,304716067,245345,0.069994499,0.083585373,0.098484848,0.077340021,0.532426778,0.317991632,0.14958159
Zip,34105,Florida,NA,4186,3002,2615,9803,115,246,34,395,15191517,87957895,125369109,228518521,309848,0.027472527,0.08194537,0.013001912,0.040293788,0.291139241,0.62278481,0.086075949
Zip,34108,Florida,NA,412,4491,8672,13575,108,338,2682,3128,17550386,141161328,4385340865,4544052579,1110781.5,0.262135922,0.075261634,0.309271218,0.230423573,0.034526854,0.108056266,0.85741688
Zip,34110,Florida,NA,3228,5303,4996,13527,46,123,656,825,10348911,46209319,609374909,665933139,741015,0.01425031,0.023194418,0.131305044,0.060989133,0.055757576,0.149090909,0.795151515
Zip,34112,Florida,NA,11004,3661,1429,16094,4671,627,182,5480,692744145,215111772,137023609,1044879526,155924.5,0.424482007,0.171264682,0.127361791,0.340499565,0.852372263,0.114416058,0.033211679
Zip,34113,Florida,NA,4606,3782,3044,11432,2080,1236,964,4280,365707652,412645947,809584986,1587938585,260163,0.451584889,0.326811211,0.316688568,0.374387684,0.485981308,0.288785047,0.225233645
Zip,34114,Florida,NA,5734,4514,1515,11763,4475,1920,764,7159,657347223,737240593,598102327,1992690143,203730,0.780432508,0.425343376,0.504290429,0.608603247,0.625087303,0.268193882,0.106718815
Zip,34134,Florida,NA,2434,3886,6904,13224,483,521,2548,3552,101512268,186153903,3348120420,3635786591,637988,0.198438784,0.134071024,0.369061414,0.268602541,0.13597973,0.146677928,0.717342342
Zip,34135,Florida,NA,9630,8379,4694,22703,130,240,170,540,24738907,85068345,115290544,225097796,368960.5,0.013499481,0.028643036,0.036216447,0.023785403,0.240740741,0.444444444,0.314814815
Zip,34138,Florida,NA,75,74,75,224,36,52,60,148,4897753,11681402,27280430,43859585,248285,0.48,0.702702703,0.8,0.660714286,0.243243243,0.351351351,0.405405405
Zip,34139,Florida,NA,131,139,106,376,131,138,105,374,19909823,36039812,47405800,103355435,241256.5,1,0.992805755,0.990566038,0.994680851,0.35026738,0.368983957,0.280748663
Zip,34140,Florida,NA,112,107,57,276,111,96,51,258,27254681,36697398,29390982,93343061,340125.5,0.991071429,0.897196262,0.894736842,0.934782609,0.430232558,0.372093023,0.197674419
Zip,34145,Florida,NA,5854,5807,5878,17539,2909,1927,2539,7375,864787767,1189278021,3893304934,5947370722,562341,0.496925179,0.331840882,0.431949643,0.420491476,0.394440678,0.261288136,0.344271186
Zip,34205,Florida,NA,5706,4623,582,10911,70,62,132,264,4412362,13738862,74262542,92413766,287463,0.012267788,0.013411205,0.226804124,0.024195766,0.265151515,0.234848485,0.5
Zip,34207,Florida,NA,8844,3230,301,12375,183,87,46,316,16156185,14923732,38594094,69674011,138050,0.020691995,0.026934985,0.15282392,0.025535354,0.579113924,0.275316456,0.14556962
Zip,34208,Florida,NA,5093,2753,2362,10208,787,526,609,1922,62257160,111118711,323796308,497172179,182894,0.15452582,0.191064293,0.257832345,0.188283699,0.409469303,0.273673257,0.31685744
