Level,District Code,District_Name,School Code,School_Name,Content,Test_Grade,# of Total Records,Valid_Scores,# of No Scores,Participation Rate,Mean Scale Score,# Did Not Yet Meet Expectations,Percent_Did_Not_Yet_Meet_Expectations,# Partially Met Expectations,Percent_Partially_Met_Expectations,# Approached Expectations,Percent_Approached_Expectations,# Met Expectations,Percent_Met_Expectations,# Exceeded Expectations,Percent_Exceeded_Expectations,# Met or Exceeded Expectations,Percent_Met_or_Exceeded_Expectations,2017 Mean Scale Score**,2017 # Met or Exceeded Expectations**,2017 % Met or Exceeded Expectations**,% Change in Met or Exceeded Expectations**
SCHOOL,0880,DENVER COUNTY 1,2115,DSST: STAPLETON MIDDLE SCHOOL,Mathematics,Mathematics Grade 06,     157,     156,       1,99.4,732,      25,16.0,      38,24.4,      45,28.8,      43,27.6,       5,3.2,      48,30.8,739,      63,40.4,  -9.6
SCHOOL,0880,DENVER COUNTY 1,2115,DSST: STAPLETON MIDDLE SCHOOL,Mathematics,Mathematics Grade 07,     159,     156,       3,98.1,741,      11,7.1,      35,22.4,      51,32.7,      53,34.0,       6,3.8,      59,37.8,747,      68,46.6,  -8.8
SCHOOL,0880,DENVER COUNTY 1,2115,DSST: STAPLETON MIDDLE SCHOOL,Mathematics,Mathematics Grade 08,     159,     158,       1,99.4,755,      18,11.4,      14,8.9,      34,21.5,      72,45.6,      20,12.7,      92,58.2,720,      13,15.9,  42.3
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,English Language Arts,All Grades,     150,     146,       4,97.3,714,      48,32.9,      39,26.7,      36,24.7,*,*,*,*,      23,15.8,717,      33,20.9,  -5.1
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,English Language Arts,English Language Arts Grade 03,      45,      44,       1,97.8,708,      19,43.2,      12,27.3,*,*,*,*,*,*,*,*,710,       6,15.8,*
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,English Language Arts,English Language Arts Grade 04,      39,      38,       1,97.4,710,      12,31.6,      14,36.8,*,*,*,*,*,*,*,*,723,      17,27.9,*
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,English Language Arts,English Language Arts Grade 05,      66,      64,       2,97.0,721,      17,26.6,      13,20.3,      18,28.1,*,*,*,*,      16,25.0,716,      10,16.9,   8.1
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,Mathematics,All Grades,     189,     188,       1,99.5,716,      53,28.2,      64,34.0,      45,23.9,*,*,*,*,      26,13.8,718,      29,15.6,  -1.8
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,Mathematics,Mathematics Grade 03,      63,      63,       0,100.0,722,      13,20.6,      21,33.3,      17,27.0,*,*,*,*,      12,19.0,724,      12,21.1,  -2.1
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,Mathematics,Mathematics Grade 04,      60,      60,       0,100.0,709,      24,40.0,      18,30.0,      11,18.3,*,*,*,*,       7,11.7,716,       7,10.0,   1.7
SCHOOL,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,Mathematics,Mathematics Grade 05,      66,      65,       1,98.5,716,      16,24.6,      25,38.5,      17,26.2,*,*,*,*,       7,10.8,715,      10,16.9,  -6.1
SCHOOL,0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,English Language Arts,All Grades,     250,     238,      12,95.2,760,      17,7.1,      30,12.6,      49,20.6,      97,40.8,      45,18.9,     142,59.7,756,     133,55.6,   4.1
SCHOOL,0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,English Language Arts,English Language Arts Grade 03,      83,      79,       4,95.2,768,       6,7.6,       9,11.4,      16,20.3,      28,35.4,      20,25.3,      48,60.8,760,      50,57.5,   3.3
SCHOOL,0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,English Language Arts,English Language Arts Grade 04,      82,      78,       4,95.1,759,*,*,*,*,      15,19.2,      31,39.7,      16,20.5,      47,60.3,752,      44,55.0,   5.3
SCHOOL,0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,English Language Arts,English Language Arts Grade 05,      85,      81,       4,95.3,753,*,*,*,*,      18,22.2,      38,46.9,       9,11.1,      47,58.0,755,      39,54.2,   3.8
SCHOOL,0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,Mathematics,All Grades,     250,     239,      11,95.6,750,      26,10.9,      35,14.6,      55,23.0,      84,35.1,      39,16.3,     123,51.5,749,     126,52.3,  -0.8
