Level,District Code,District_Name,School Code,School_Name,Content,Test_Grade,# of Total Records,Valid_Scores,# of No Scores,Participation Rate,Mean Scale Score,# Did Not Yet Meet Expectations,Percent_Did_Not_Yet_Meet_Expectations,# Partially Met Expectations,Percent_Partially_Met_Expectations,# Approached Expectations,Percent_Approached_Expectations,# Met Expectations,Percent_Met_Expectations,# Exceeded Expectations,Percent_Exceeded_Expectations,# Met or Exceeded Expectations,Percent_Met_or_Exceeded_Expectations,2017 Mean Scale Score**,2017 # Met or Exceeded Expectations**,2017 % Met or Exceeded Expectations**,% Change in Met or Exceeded Expectations**
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,English Language Arts,English Language Arts Grade 04,"   3,043","   3,024",      19,99.4,728,     695,23.0,     736,24.3,     781,25.8,     678,22.4,     134,4.4,     812,26.9,725,     789,25.1,   1.8
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,English Language Arts,English Language Arts Grade 05,"   3,142","   3,115",      27,99.1,730,     611,19.6,     738,23.7,     839,26.9,     860,27.6,      67,2.2,     927,29.8,727,     781,26.0,   3.8
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,English Language Arts,English Language Arts Grade 06,"   2,872","   2,823",      49,98.3,724,     643,22.8,     839,29.7,     746,26.4,     515,18.2,      80,2.8,     595,21.1,725,     594,21.0,   0.1
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,English Language Arts,English Language Arts Grade 07,"   2,837","   2,769",      68,97.6,725,     821,29.6,     553,20.0,     623,22.5,     604,21.8,     168,6.1,     772,27.9,724,     666,24.2,   3.7
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,English Language Arts,English Language Arts Grade 08,"   2,712","   2,609",     103,96.2,727,     704,27.0,     557,21.3,     642,24.6,     566,21.7,     140,5.4,     706,27.1,729,     845,30.2,  -3.1
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,Mathematics,All Grades,"  17,863","  17,583",     280,98.4,718,"   5,186",29.5,"   5,225",29.7,"   4,228",24.0,"   2,700",15.4,     244,1.4,"   2,944",16.7,717,"   3,187",15.8,   0.9
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,Mathematics,Mathematics Grade 03,"   3,246","   3,232",      14,99.6,720,     931,28.8,     828,25.6,     839,26.0,     552,17.1,      82,2.5,     634,19.6,719,     665,20.9,  -1.3
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,Mathematics,Mathematics Grade 04,"   3,061","   3,035",      26,99.2,718,     958,31.6,     843,27.8,     708,23.3,     502,16.5,      24,0.8,     526,17.3,717,     495,15.6,   1.7
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,Mathematics,Mathematics Grade 05,"   3,137","   3,114",      23,99.3,720,     802,25.8,     962,30.9,     811,26.0,     501,16.1,      38,1.2,     539,17.3,718,     449,15.0,   2.3
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,Mathematics,Mathematics Grade 06,"   2,870","   2,826",      44,98.5,716,     802,28.4,"   1,033",36.6,     620,21.9,     338,12.0,      33,1.2,     371,13.1,713,     347,12.2,   0.9
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,Mathematics,Mathematics Grade 07,"   2,838","   2,769",      69,97.6,718,     713,25.7,     923,33.3,     769,27.8,     346,12.5,      18,0.7,     364,13.1,719,     345,12.6,   0.5
DISTRICT,0180,ADAMS-ARAPAHOE 28J,0000,All Schools,Mathematics,Mathematics Grade 08,"   2,711","   2,607",     104,96.2,715,     980,37.6,     636,24.4,     481,18.5,     461,17.7,      49,1.9,     510,19.6,709,     297,12.5,   7.1
DISTRICT,0960,AGATE 300,0000,All Schools,English Language Arts,All Grades,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0960,AGATE 300,0000,All Schools,English Language Arts,English Language Arts Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0960,AGATE 300,0000,All Schools,English Language Arts,English Language Arts Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0960,AGATE 300,0000,All Schools,English Language Arts,English Language Arts Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0960,AGATE 300,0000,All Schools,Mathematics,All Grades,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0960,AGATE 300,0000,All Schools,Mathematics,Mathematics Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0960,AGATE 300,0000,All Schools,Mathematics,Mathematics Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0960,AGATE 300,0000,All Schools,Mathematics,Mathematics Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,English Language Arts,All Grades,      48,      46,       2,95.8,722,      11,23.9,      11,23.9,      16,34.8,*,*,*,*,       8,17.4,716,       5,7.6,   9.8
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,English Language Arts,English Language Arts Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,English Language Arts,English Language Arts Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,English Language Arts,English Language Arts Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,English Language Arts,English Language Arts Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,English Language Arts,English Language Arts Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,English Language Arts,English Language Arts Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,Mathematics,All Grades,      48,      46,       2,95.8,711,      16,34.8,      16,34.8,*,*,*,*,*,*,*,*,706,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,Mathematics,Mathematics Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,Mathematics,Mathematics Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,Mathematics,Mathematics Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,Mathematics,Mathematics Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,Mathematics,Mathematics Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1620,AGUILAR REORGANIZED 6,0000,All Schools,Mathematics,Mathematics Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,English Language Arts,All Grades,     147,     139,       8,94.6,732,      19,13.7,      37,26.6,      44,31.7,*,*,*,*,      39,28.1,735,      29,27.4,   0.7
DISTRICT,3030,AKRON R-1,0000,All Schools,English Language Arts,English Language Arts Grade 03,      30,      30,       0,100.0,740,       4,13.3,       4,13.3,       8,26.7,*,*,*,*,      14,46.7,*,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,English Language Arts,English Language Arts Grade 04,      21,      19,       2,90.5,744,*,*,*,*,*,*,*,*,*,*,*,*,747,      11,47.8,*
DISTRICT,3030,AKRON R-1,0000,All Schools,English Language Arts,English Language Arts Grade 05,      30,      30,       0,100.0,732,*,*,*,*,       9,30.0,*,*,*,*,       8,26.7,726,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,English Language Arts,English Language Arts Grade 06,      25,      21,       4,84.0,726,       5,23.8,       4,19.0,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,English Language Arts,English Language Arts Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,727,       4,16.7,*
DISTRICT,3030,AKRON R-1,0000,All Schools,English Language Arts,English Language Arts Grade 08,      26,      26,       0,100.0,714,       6,23.1,      13,50.0,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,Mathematics,All Grades,     147,     138,       9,93.9,733,      18,13.0,      42,30.4,      35,25.4,      38,27.5,       5,3.6,      43,31.2,733,      32,30.2,   1.0
DISTRICT,3030,AKRON R-1,0000,All Schools,Mathematics,Mathematics Grade 03,      30,      30,       0,100.0,746,*,*,*,*,      10,33.3,*,*,*,*,      12,40.0,*,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,Mathematics,Mathematics Grade 04,      21,      19,       2,90.5,734,*,*,*,*,*,*,*,*,*,*,*,*,744,      11,47.8,*
DISTRICT,3030,AKRON R-1,0000,All Schools,Mathematics,Mathematics Grade 05,      30,      30,       0,100.0,741,*,*,*,*,       6,20.0,*,*,*,*,      13,43.3,733,       6,35.3,   8.0
DISTRICT,3030,AKRON R-1,0000,All Schools,Mathematics,Mathematics Grade 06,      25,      20,       5,80.0,724,*,*,*,*,       4,20.0,*,*,*,*,       6,30.0,*,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,Mathematics,Mathematics Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,719,*,*,*
DISTRICT,3030,AKRON R-1,0000,All Schools,Mathematics,Mathematics Grade 08,      26,      26,       0,100.0,713,       6,23.1,      13,50.0,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,English Language Arts,All Grades,"   1,072","   1,059",      13,98.8,735,     156,14.7,     229,21.6,     302,28.5,     327,30.9,      45,4.2,     372,35.1,735,     406,33.2,   1.9
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,English Language Arts,English Language Arts Grade 03,     205,     205,       0,100.0,729,      34,16.6,      57,27.8,      49,23.9,*,*,*,*,      65,31.7,735,      60,33.7,  -2.0
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,English Language Arts,English Language Arts Grade 04,     180,     179,       1,99.4,740,      23,12.8,      27,15.1,      57,31.8,      62,34.6,      10,5.6,      72,40.2,744,      79,45.1,  -4.9
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,English Language Arts,English Language Arts Grade 05,     174,     165,       9,94.8,747,      14,8.5,      17,10.3,      54,32.7,      73,44.2,       7,4.2,      80,48.5,745,      73,42.4,   6.1
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,English Language Arts,English Language Arts Grade 06,     175,     174,       1,99.4,732,      23,13.2,      49,28.2,      54,31.0,*,*,*,*,      48,27.6,729,      39,21.7,   5.9
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,English Language Arts,English Language Arts Grade 07,     181,     181,       0,100.0,732,      33,18.2,      43,23.8,      41,22.7,      50,27.6,      14,7.7,      64,35.4,727,      36,21.2,  14.2
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,English Language Arts,English Language Arts Grade 08,     157,     155,       2,98.7,731,      29,18.7,      36,23.2,      47,30.3,      34,21.9,       9,5.8,      43,27.7,736,      58,36.0,  -8.3
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,Mathematics,All Grades,"   1,074","   1,053",      21,98.0,728,     183,17.4,     289,27.4,     341,32.4,     212,20.1,      28,2.7,     240,22.8,726,     254,20.7,   2.1
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,Mathematics,Mathematics Grade 03,     206,     205,       1,99.5,737,      22,10.7,      51,24.9,      63,30.7,      57,27.8,      12,5.9,      69,33.7,731,      52,28.9,   4.8
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,Mathematics,Mathematics Grade 04,     181,     180,       1,99.4,729,      30,16.7,      48,26.7,      57,31.7,*,*,*,*,      45,25.0,736,      51,29.1,  -4.1
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,Mathematics,Mathematics Grade 05,     174,     163,      11,93.7,732,      26,16.0,      36,22.1,      59,36.2,      36,22.1,       6,3.7,      42,25.8,727,      38,22.1,   3.7
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,Mathematics,Mathematics Grade 06,     175,     169,       6,96.6,721,      34,20.1,      57,33.7,      55,32.5,*,*,*,*,      23,13.6,722,      33,18.3,  -4.7
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,Mathematics,Mathematics Grade 07,     181,     180,       1,99.4,727,      24,13.3,      54,30.0,      70,38.9,*,*,*,*,      32,17.8,722,      19,11.2,   6.6
DISTRICT,0100,ALAMOSA RE-11J,0000,All Schools,Mathematics,Mathematics Grade 08,     157,     156,       1,99.4,721,      47,30.1,      43,27.6,      37,23.7,      25,16.0,       4,2.6,      29,18.6,715,       9,6.9,  11.7
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,English Language Arts,All Grades,     753,     749,       4,99.5,736,     127,17.0,     168,22.4,     191,25.5,     220,29.4,      43,5.7,     263,35.1,729,     234,27.1,   8.0
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,English Language Arts,English Language Arts Grade 03,     117,     117,       0,100.0,729,      25,21.4,      25,21.4,      33,28.2,*,*,*,*,      34,29.1,717,      16,13.8,  15.3
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,English Language Arts,English Language Arts Grade 04,     125,     124,       1,99.2,733,      19,15.3,      27,21.8,      42,33.9,*,*,*,*,      36,29.0,726,      29,22.7,   6.3
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,English Language Arts,English Language Arts Grade 05,     129,     128,       1,99.2,739,      21,16.4,      22,17.2,      35,27.3,      45,35.2,       5,3.9,      50,39.1,731,      32,27.1,  12.0
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,English Language Arts,English Language Arts Grade 06,     125,     124,       1,99.2,729,      21,16.9,      38,30.6,      30,24.2,*,*,*,*,      35,28.2,730,      32,27.4,   0.8
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,English Language Arts,English Language Arts Grade 07,     116,     116,       0,100.0,739,      21,18.1,      23,19.8,      26,22.4,      29,25.0,      17,14.7,      46,39.7,722,      32,24.2,  15.5
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,English Language Arts,English Language Arts Grade 08,     141,     140,       1,99.3,744,      20,14.3,      33,23.6,      25,17.9,      45,32.1,      17,12.1,      62,44.3,744,      60,46.2,  -1.9
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,All Grades,     753,     751,       2,99.7,728,     128,17.0,     210,28.0,     234,31.2,     165,22.0,      14,1.9,     179,23.8,726,     186,21.6,   2.2
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,Mathematics Grade 03,     117,     117,       0,100.0,726,      20,17.1,      33,28.2,      35,29.9,*,*,*,*,      29,24.8,719,      21,18.1,   6.7
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,Mathematics Grade 04,     125,     125,       0,100.0,725,      26,20.8,      40,32.0,      28,22.4,*,*,*,*,      31,24.8,721,      20,15.6,   9.2
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,Mathematics Grade 05,     129,     129,       0,100.0,732,      16,12.4,      41,31.8,      35,27.1,      33,25.6,       4,3.1,      37,28.7,729,      30,25.2,   3.5
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,Mathematics Grade 06,     125,     124,       1,99.2,722,      24,19.4,      39,31.5,      46,37.1,*,*,*,*,      15,12.1,721,      17,14.5,  -2.4
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,Mathematics Grade 07,     116,     116,       0,100.0,*,*,*,*,*,*,*,*,*,*,*,*,*,728,      30,22.6,*
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,Mathematics Grade 08,     140,     139,       1,99.3,731,      30,21.6,      29,20.9,      37,26.6,      39,28.1,       4,2.9,      43,30.9,731,      37,28.5,   2.4
DISTRICT,0220,ARCHULETA COUNTY 50 JT,0000,All Schools,Mathematics,Integrated II,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,NA,NA,NA,NA
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,English Language Arts,All Grades,      52,      47,       5,90.4,726,      11,23.4,      12,25.5,      13,27.7,*,*,*,*,      11,23.4,723,       7,18.4,   5.0
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,English Language Arts,English Language Arts Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,English Language Arts,English Language Arts Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,English Language Arts,English Language Arts Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,English Language Arts,English Language Arts Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,English Language Arts,English Language Arts Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,English Language Arts,English Language Arts Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,Mathematics,All Grades,      52,      48,       4,92.3,730,       5,10.4,      13,27.1,      20,41.7,*,*,*,*,      10,20.8,729,      10,26.3,  -5.5
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,Mathematics,Mathematics Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,Mathematics,Mathematics Grade 04,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,Mathematics,Mathematics Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,Mathematics,Mathematics Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,Mathematics,Mathematics Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,3040,ARICKAREE R-2,0000,All Schools,Mathematics,Mathematics Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,English Language Arts,All Grades,      69,      66,       3,95.7,730,      12,18.2,      12,18.2,      22,33.3,*,*,*,*,      20,30.3,724,      21,22.1,   8.2
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,English Language Arts,English Language Arts Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,725,       4,25.0,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,English Language Arts,English Language Arts Grade 04,      16,      16,       0,100.0,760,*,*,*,*,*,*,*,*,*,*,      10,62.5,*,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,English Language Arts,English Language Arts Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,740,       8,47.1,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,English Language Arts,English Language Arts Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,English Language Arts,English Language Arts Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,English Language Arts,English Language Arts Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,720,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,Mathematics,All Grades,      69,      66,       3,95.7,731,      11,16.7,      19,28.8,      19,28.8,*,*,*,*,      17,25.8,733,      27,28.4,  -2.6
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,Mathematics,Mathematics Grade 03,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,767,      13,81.3,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,Mathematics,Mathematics Grade 04,      16,      16,       0,100.0,734,*,*,*,*,       9,56.3,*,*,*,*,*,*,*,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,Mathematics,Mathematics Grade 05,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,736,       4,23.5,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,Mathematics,Mathematics Grade 06,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,Mathematics,Mathematics Grade 07,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DISTRICT,1450,ARRIBA-FLAGLER C-20,0000,All Schools,Mathematics,Mathematics Grade 08,*,< 16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,720,*,*,*
DISTRICT,2640,ASPEN 1,0000,All Schools,English Language Arts,All Grades,     779,     698,      81,89.6,748,      61,8.7,      97,13.9,     186,26.6,     303,43.4,      51,7.3,     354,50.7,748,     410,51.3,  -0.6
DISTRICT,2640,ASPEN 1,0000,All Schools,English Language Arts,English Language Arts Grade 03,     142,     140,       2,98.6,743,      16,11.4,      23,16.4,      43,30.7,*,*,*,*,      58,41.4,740,      47,40.2,   1.2
DISTRICT,2640,ASPEN 1,0000,All Schools,English Language Arts,English Language Arts Grade 04,     121,     120,       1,99.2,750,       7,5.8,      21,17.5,      31,25.8,      47,39.2,      14,11.7,      61,50.8,746,      61,45.2,   5.6
DISTRICT,2640,ASPEN 1,0000,All Schools,English Language Arts,English Language Arts Grade 05,     138,     126,      12,91.3,746,      14,11.1,      15,11.9,      33,26.2,      58,46.0,       6,4.8,      64,50.8,748,      57,52.3,  -1.5
DISTRICT,2640,ASPEN 1,0000,All Schools,English Language Arts,English Language Arts Grade 06,     122,     101,      21,82.8,750,       6,5.9,      15,14.9,      27,26.7,      46,45.5,       7,6.9,      53,52.5,748,      57,50.0,   2.5
DISTRICT,2640,ASPEN 1,0000,All Schools,English Language Arts,English Language Arts Grade 07,     129,     108,      21,83.7,754,       9,8.3,      10,9.3,      21,19.4,      52,48.1,      16,14.8,      68,63.0,753,      65,62.5,   0.5
DISTRICT,2640,ASPEN 1,0000,All Schools,English Language Arts,English Language Arts Grade 08,     127,     103,      24,81.1,748,       9,8.7,      13,12.6,      31,30.1,*,*,*,*,      50,48.5,753,      66,59.5, -11.0
DISTRICT,2640,ASPEN 1,0000,All Schools,Mathematics,All Grades,     779,     698,      81,89.6,740,      68,9.7,     145,20.8,     211,30.2,     246,35.2,      28,4.0,     274,39.3,743,     326,41.2,  -1.9
DISTRICT,2640,ASPEN 1,0000,All Schools,Mathematics,Mathematics Grade 03,     142,     140,       2,98.6,742,      14,10.0,      23,16.4,      45,32.1,      50,35.7,       8,5.7,      58,41.4,747,      53,44.9,  -3.5
DISTRICT,2640,ASPEN 1,0000,All Schools,Mathematics,Mathematics Grade 04,     121,     120,       1,99.2,736,      13,10.8,      30,25.0,      32,26.7,*,*,*,*,      45,37.5,741,      53,39.3,  -1.8
DISTRICT,2640,ASPEN 1,0000,All Schools,Mathematics,Mathematics Grade 05,     138,     126,      12,91.3,733,      20,15.9,      33,26.2,      27,21.4,      40,31.7,       6,4.8,      46,36.5,737,      37,33.6,   2.9
DISTRICT,2640,ASPEN 1,0000,All Schools,Mathematics,Mathematics Grade 06,     122,     101,      21,82.8,743,       6,5.9,      20,19.8,      37,36.6,      32,31.7,       6,5.9,      38,37.6,739,      42,36.8,   0.8
DISTRICT,2640,ASPEN 1,0000,All Schools,Mathematics,Mathematics Grade 07,     129,     108,      21,83.7,741,       5,4.6,      23,21.3,      40,37.0,*,*,*,*,      40,37.0,745,      43,41.7,  -4.7
DISTRICT,2640,ASPEN 1,0000,All Schools,Mathematics,Mathematics Grade 08,     127,     103,      24,81.1,745,      10,9.7,      16,15.5,      30,29.1,      43,41.7,       4,3.9,      47,45.6,730,      12,23.1,  22.5
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,English Language Arts,All Grades,     427,     365,      62,85.5,728,      73,20.0,      81,22.2,     115,31.5,      90,24.7,       6,1.6,      96,26.3,734,     104,28.3,  -2.0
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,English Language Arts,English Language Arts Grade 03,      81,      76,       5,93.8,718,      28,36.8,      11,14.5,      22,28.9,*,*,*,*,      15,19.7,724,       8,14.8,   4.9
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,English Language Arts,English Language Arts Grade 04,      61,      51,      10,83.6,737,       5,9.8,      12,23.5,      16,31.4,*,*,*,*,      18,35.3,731,      13,18.8,  16.5
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,English Language Arts,English Language Arts Grade 05,      81,      73,       8,90.1,733,      11,15.1,      12,16.4,      28,38.4,*,*,*,*,      22,30.1,739,      18,40.0,  -9.9
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,English Language Arts,English Language Arts Grade 06,      70,      58,      12,82.9,727,       9,15.5,      17,29.3,      19,32.8,*,*,*,*,      13,22.4,733,       9,19.6,   2.8
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,English Language Arts,English Language Arts Grade 07,      63,      51,      12,81.0,729,      10,19.6,      14,27.5,      12,23.5,*,*,*,*,      15,29.4,738,      24,40.0, -10.6
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,English Language Arts,English Language Arts Grade 08,      71,      56,      15,78.9,729,      10,17.9,      15,26.8,      18,32.1,*,*,*,*,      13,23.2,729,      12,27.3,  -4.1
DISTRICT,3145,AULT-HIGHLAND RE-9,0000,All Schools,Mathematics,All Grades,     427,     365,      62,85.5,723,      80,21.9,      94,25.8,     115,31.5,*,*,*,*,      76,20.8,734,     112,30.3,  -9.5
