Dir_Name_Display,Dir_School_Code,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,GR_Text,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Trans_Bus,Trans_Metro,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average
Hendley Elementary School,249,20032,-76.99918485,38.82898591,8,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,A2 A6 A7 A8 A9 D12 D13 D14 NH1 P12 P18 P19 W1 W14,,445,0%,100%,0%,0%,0%,0%,0%,0%,11%,100%,86%,43%,71%,36%,18%,18%,8%,3%,2%,0%,0%,23%,27%,23%,23%,5%,47%,62%,32%,24%,17%,12%,4%,2%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,31%,10%,13%,8%,12%,4%,0%,0%,0%,93%,43%,85%,95%,50%,89%,87%,100%,92%
Houston Elementary School,251,20019,-76.92994765,38.90541532,7,PK3-5th,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,R12 U4 U7 V14 W4,Orange Line: Deanwood Station,299,0%,97%,3%,0%,0%,0%,0%,2%,21%,100%,61%,19%,34%,45%,28%,23%,27%,12%,12%,1%,0%,23%,27%,23%,23%,5%,35%,47%,29%,31%,26%,16%,8%,6%,2%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,30%,20%,13%,5%,5%,4%,0%,0%,0%,81%,60%,85%,77%,85%,89%,100%,87%,92%
Hyde-Addison Elementary School @ Meyer,252,20001,-77.026593,38.922826,2,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,52 53 54 63 64 70 79 90 92 96 H1 H2 H3 H4 H8 S1 S2 S4 S9 X3,,329,7%,31%,14%,1%,45%,3%,0%,9%,5%,15%,43%,4%,4%,18%,13%,18%,10%,44%,47%,18%,26%,23%,27%,23%,23%,5%,8%,7%,14%,9%,19%,23%,42%,42%,18%,19%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,7%,4%,13%,1%,1%,4%,0%,0%,0%,91%,90%,85%,90%,89%,89%,96%,100%,92%
Janney Elementary School,254,20016,-77.08099483,38.94755042,3,PK4-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,30N 30S 31 37 96 D32 H2 H3 H4 M4 N2 W45 W47,Red Line: Tenleytown Station,722,4%,5%,7%,0%,75%,8%,0%,2%,8%,1%,93%,0%,0%,5%,7%,14%,16%,55%,57%,25%,20%,23%,27%,23%,23%,5%,0%,3%,5%,6%,10%,22%,59%,50%,26%,20%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,0%,13%,0%,0%,4%,0%,0%,0%,96%,97%,85%,97%,98%,89%,84%,92%,92%
Ketcham Elementary School,257,20020,-76.98362116,38.86604269,8,PK3-5th,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,90 92 A31 A32 A33 A9 B2 P6 V2 V5 W6 W8 DCCirculator,,309,0%,96%,2%,0%,0%,2%,0%,1%,12%,100%,60%,17%,14%,21%,29%,29%,23%,31%,31%,2%,3%,23%,27%,23%,23%,5%,35%,29%,21%,31%,31%,28%,12%,13%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,20%,39%,13%,12%,9%,4%,0%,0%,0%,89%,81%,85%,96%,94%,89%,93%,92%,92%
Key Elementary School,272,20016,-77.10052732,38.92680184,3,PK4-5th,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,D5 D6 M4,,397,4%,11%,11%,1%,67%,7%,0%,5%,6%,5%,84%,1%,3%,9%,9%,20%,16%,49%,53%,20%,19%,23%,27%,23%,23%,5%,3%,6%,3%,4%,16%,18%,61%,62%,16%,9%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,4%,0%,13%,1%,0%,4%,0%,0%,0%,96%,96%,85%,96%,96%,89%,96%,78%,92%
Kimball Elementary School @ Davis,259,20019,-76.937616,38.879068,7,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,E32 S35 U5 U6 U8 V1 W4,,372,0%,97%,2%,0%,0%,1%,0%,0%,14%,100%,74%,14%,26%,38%,31%,33%,30%,15%,12%,0%,1%,23%,27%,23%,23%,5%,42%,37%,24%,34%,27%,25%,7%,5%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,17%,1%,13%,10%,12%,4%,0%,0%,0%,81%,77%,85%,91%,87%,89%,100%,88%,92%
Lafayette Elementary School,261,20015,-77.06803712,38.96662755,4,PK4-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,E6 E4 L1 L2 M4,,761,5%,10%,7%,0%,70%,7%,0%,4%,5%,4%,88%,1%,1%,5%,4%,11%,13%,53%,61%,30%,22%,23%,27%,23%,23%,5%,3%,5%,5%,8%,15%,21%,63%,56%,15%,11%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,0%,13%,0%,1%,4%,0%,0%,0%,98%,96%,85%,97%,97%,89%,96%,88%,92%
Langdon Elementary School,262,20018,-76.97708185,38.92470416,5,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,83 86 B8 B9 E2 G9 H6 T14 T18,,323,0%,85%,13%,0%,1%,1%,0%,9%,7%,100%,53%,30%,25%,31%,31%,25%,29%,13%,14%,0%,1%,23%,27%,23%,23%,5%,33%,31%,30%,33%,23%,25%,14%,11%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,9%,3%,13%,4%,3%,4%,0%,0%,0%,87%,93%,85%,99%,98%,89%,100%,94%,92%
Bruce-Monroe Elementary School @ Park View,296,20010,-77.02118567,38.9344141,1,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,60 63 64 70 79 H1 H2 H3 H4 H8,Green/Yellow Lines: Georgia Avenue-Petworth Station,473,0%,16%,75%,1%,6%,1%,0%,50%,11%,100%,46%,17%,23%,21%,23%,26%,29%,31%,23%,5%,2%,23%,27%,23%,23%,5%,25%,30%,20%,29%,32%,26%,21%,14%,2%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,11%,11%,13%,0%,2%,4%,0%,0%,0%,85%,85%,85%,88%,88%,89%,91%,95%,92%
