Dir_Name_Display,Dir_School_Code,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,GR_Text,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Trans_Bus,Trans_Metro,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average
Patterson Elementary School,294,20032,-77.00848471,38.82696636,8,PK3-5th,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,A2 A4 A8 A9 W1 W5 W9,,394,0%,99%,1%,0%,0%,0%,0%,0%,22%,100%,68%,30%,27%,36%,41%,21%,25%,13%,7%,1%,1%,23%,27%,23%,23%,5%,37%,35%,23%,33%,30%,26%,10%,6%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,1%,13%,9%,13%,4%,0%,0%,0%,81%,88%,85%,90%,92%,89%,100%,100%,92%
Payne Elementary School,295,20003,-76.984984,38.885171,6,PK3-5th,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,30N 30S 32 34 36 39 96 97 B2 M6 V1 V4 DCCirculator,Blue/Orange/Silver Lines: Stadium-Armory Station,300,0%,76%,4%,0%,16%,4%,0%,3%,15%,100%,42%,19%,16%,23%,34%,33%,28%,24%,20%,2%,2%,23%,27%,23%,23%,5%,17%,22%,28%,36%,39%,34%,15%,8%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,33%,18%,13%,4%,2%,4%,0%,0%,0%,72%,88%,85%,88%,96%,89%,87%,96%,92%
Plummer Elementary School,299,20019,-76.93993468,38.8872402,7,PK3-5th,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,E32 96 97 U5 U6 U8 V1 W4,Blue/Orange/Silver Lines: Benning Rd Station,391,0%,91%,9%,0%,0%,0%,0%,6%,16%,100%,56%,36%,53%,32%,27%,16%,13%,16%,7%,0%,0%,23%,27%,23%,23%,5%,47%,52%,23%,30%,20%,13%,9%,5%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,8%,5%,13%,4%,4%,4%,0%,0%,0%,71%,99%,85%,76%,100%,89%,92%,96%,92%
Powell Elementary School,300,20011,-77.03122742,38.94153434,4,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,52 53 54 60 62 63 70 S1 S2 S4 S9,,534,1%,12%,78%,1%,7%,2%,0%,54%,12%,100%,50%,13%,20%,25%,26%,25%,26%,34%,28%,3%,1%,23%,27%,23%,23%,5%,28%,37%,35%,28%,22%,26%,15%,9%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3%,7%,13%,2%,1%,4%,0%,0%,0%,87%,88%,85%,90%,95%,89%,86%,89%,92%
Raymond Education Campus,302,20010,-77.02643266,38.93581121,4,PK3-8th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,52 53 54 60 62 63 64 70 79 H1 H2 H3 H4 H8,Green/Yellow Lines: Georgia Ave-Petworth Station,613,0%,33%,65%,0%,1%,0%,0%,46%,12%,100%,55%,20%,19%,29%,36%,32%,29%,18%,16%,1%,0%,23%,27%,23%,23%,5%,22%,23%,26%,23%,27%,32%,24%,22%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,8%,3%,15%,1%,0%,4%,0%,0%,0%,95%,95%,86%,92%,99%,85%,90%,91%,92%
Ross Elementary School,305,20009,-77.03966214,38.91239115,2,PK3-5th,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,37 42 43 90 92 96 D1 D2 D4 D6 G2 H1 L1 L2 N2 N4 N6 S1 S2 S4 S9 X3,Red Line: Dupont Circle Station,171,9%,18%,18%,0%,47%,8%,0%,8%,3%,12%,65%,2%,0%,0%,10%,13%,16%,57%,61%,28%,14%,23%,27%,23%,23%,5%,0%,2%,3%,14%,17%,14%,45%,43%,35%,27%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3%,2%,13%,0%,1%,4%,0%,0%,0%,100%,100%,85%,100%,98%,89%,91%,91%,92%
Savoy Elementary School,307,20020,-76.99360426,38.86285199,8,PK3-5th,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,90 92 94 A2 A4 A6 A7 A8 A9 B2 P6 W2 W3 W5 W6 W8 DCCirculator,Green Line: Anacostia Station,315,0%,99%,1%,0%,0%,0%,0%,0%,8%,100%,65%,40%,50%,32%,33%,18%,8%,8%,8%,2%,1%,23%,27%,23%,23%,5%,27%,48%,37%,37%,21%,9%,15%,5%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,45%,32%,13%,8%,9%,4%,0%,0%,0%,71%,62%,85%,89%,66%,89%,94%,94%,92%
Seaton Elementary School,309,20001,-77.02488247,38.9106187,6,PK3-5th,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,52 53 54 63 64 70 79 90 92 96 G2 G8 G9 DCCirculator,Green/Yellow Lines: Shaw Station,341,13%,34%,40%,0%,11%,1%,0%,38%,14%,100%,33%,12%,6%,19%,25%,22%,28%,41%,38%,6%,2%,23%,27%,23%,23%,5%,22%,21%,20%,24%,27%,31%,29%,24%,2%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,8%,9%,13%,0%,0%,4%,0%,0%,0%,90%,93%,85%,94%,98%,89%,93%,94%,92%
Shepherd Elementary School,313,20012,-77.03399523,38.98460328,4,PK3-5th,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,70 79 S4 S2 S9,,361,1%,73%,7%,0%,13%,6%,0%,5%,7%,29%,39%,8%,7%,11%,19%,28%,26%,40%,41%,13%,7%,23%,27%,23%,23%,5%,10%,10%,12%,15%,24%,29%,49%,41%,5%,5%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,4%,0%,13%,0%,0%,4%,0%,0%,0%,88%,88%,85%,85%,88%,89%,91%,100%,92%
Simon Elementary School,315,20032,-77.000195,38.83598054,8,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,A2 A4 A6 A7 A8 A9 W1 W2 W3,,276,0%,98%,2%,0%,0%,0%,0%,1%,12%,100%,62%,41%,20%,33%,41%,21%,25%,5%,14%,0%,0%,23%,27%,23%,23%,5%,53%,46%,30%,32%,15%,17%,2%,6%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,16%,22%,13%,5%,12%,4%,0%,0%,0%,88%,77%,85%,96%,86%,89%,76%,94%,92%
Stoddert Elementary School,321,20007,-77.0790738,38.92304465,3,PK4-5th,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,30N 30S 31 33 D1 D2,,435,6%,9%,15%,0%,65%,4%,0%,14%,4%,13%,80%,1%,2%,3%,10%,13%,13%,48%,53%,36%,23%,23%,27%,23%,23%,5%,1%,4%,3%,5%,14%,19%,56%,52%,27%,19%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1%,1%,13%,0%,0%,4%,0%,0%,0%,97%,95%,85%,98%,96%,89%,93%,87%,92%
Takoma Education Campus,324,20012,-77.02279493,38.97504287,4,PK3-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,52 53 54 62 63 70 79 F1 F2 K2,Red Line: Takoma Station,468,1%,60%,32%,0%,5%,3%,0%,26%,16%,100%,55%,29%,36%,36%,28%,19%,25%,13%,10%,3%,1%,23%,27%,23%,23%,5%,27%,33%,22%,25%,28%,25%,22%,16%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,19%,5%,15%,6%,4%,4%,0%,0%,0%,75%,76%,86%,73%,68%,85%,97%,92%,92%
Thomas Elementary School,325,20019,-76.95211091,38.90127897,7,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,U5 U6,,409,0%,96%,2%,0%,0%,0%,0%,1%,18%,100%,74%,39%,37%,26%,35%,25%,16%,11%,12%,0%,1%,23%,27%,23%,23%,5%,38%,28%,28%,35%,22%,26%,11%,10%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,45%,16%,13%,5%,14%,4%,0%,0%,0%,69%,64%,85%,65%,65%,89%,100%,91%,92%
Thomson Elementary School,326,20005,-77.02843003,38.90349634,2,PK3-5th,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,3Y 7Y 11Y 30N 30S 31 32 36 33 37 39 42 43 52 53 54 63 64 79 80 D1 D4 D6 G8 G9 S1 S2 S4 S9 X2 X9 DCCirculator,Red Line: Metro Center Station; Green/Yellow Lines: Mt. Vernon Square/7th Street-Convention Center Station,314,15%,27%,52%,1%,4%,1%,0%,43%,9%,100%,55%,9%,6%,20%,29%,24%,21%,43%,33%,3%,10%,23%,27%,23%,23%,5%,21%,19%,18%,23%,23%,28%,36%,26%,2%,3%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1%,0%,13%,0%,0%,4%,0%,0%,0%,87%,73%,85%,94%,91%,89%,93%,89%,92%
Truesdell Education Campus,327,20011,-77.02507158,38.95396869,4,PK3-8th,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,62 63 70 79 E2 E4,,679,1%,30%,66%,0%,1%,1%,0%,44%,13%,100%,62%,30%,26%,28%,31%,22%,26%,19%,16%,1%,0%,23%,27%,23%,23%,5%,20%,29%,20%,28%,26%,25%,29%,17%,4%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,10%,4%,15%,1%,1%,4%,0%,0%,0%,76%,89%,86%,82%,95%,85%,90%,88%,92%
Tubman Elementary School,328,20010,-77.0294433,38.92919857,1,PK3-5th,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,52 53 54 63 64 70 79 D32 H1 H2 H3 H4 H8 S1 S2 S4 S9 W47 DCCirculator,Green/Yellow Lines: Columbia Heights Station,542,2%,40%,53%,1%,4%,0%,0%,44%,16%,100%,57%,12%,20%,38%,31%,31%,31%,18%,17%,2%,1%,23%,27%,23%,23%,5%,23%,28%,29%,34%,29%,26%,18%,11%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,16%,19%,13%,5%,9%,4%,0%,0%,0%,65%,74%,85%,65%,79%,89%,91%,93%,92%
Turner Elementary School,329,20032,-76.98031323,38.84763644,8,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,92 94 D51 W1 W2 W3 W4 W6 W8,,484,0%,98%,1%,0%,0%,0%,0%,1%,12%,100%,62%,37%,59%,30%,28%,19%,12%,12%,1%,2%,0%,23%,27%,23%,23%,5%,50%,53%,25%,28%,15%,14%,10%,5%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,58%,19%,13%,5%,8%,4%,0%,0%,0%,73%,81%,85%,85%,89%,89%,100%,96%,92%
Tyler Elementary School,330,20003,-76.99204166,38.88108436,6,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,30N 30S 32 34 36 39 90 92 B2 M6 V1 V4 DCCirculator,Blue/Orange/Silver Lines: Eastern Market Station,514,1%,72%,11%,0%,14%,2%,0%,2%,15%,100%,26%,17%,22%,29%,28%,29%,32%,23%,17%,2%,2%,23%,27%,23%,23%,5%,22%,27%,29%,24%,24%,25%,22%,21%,3%,2%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3%,0%,13%,2%,2%,4%,0%,0%,0%,90%,76%,85%,90%,85%,89%,91%,94%,92%
Walker-Jones Education Campus,332,20001,-77.01391569,38.90419198,6,PK3-8th,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,70 74 79 80 96 D4 G2 P6 X2 X9 DCCirculator,Green/Yellow Lines: Mt. Vernon Square/7th Street-Convention Center Station,451,1%,93%,5%,0%,1%,0%,0%,3%,21%,100%,65%,35%,37%,27%,37%,24%,21%,13%,4%,1%,1%,23%,27%,23%,23%,5%,35%,40%,30%,32%,25%,20%,10%,7%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,44%,53%,15%,14%,7%,4%,0%,0%,0%,74%,78%,86%,66%,78%,85%,89%,94%,92%
Watkins Elementary School (Capitol Hill Cluster),333,20003,-76.989997,38.883467,6,1st-5th,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,30N 30S 32 34 36 39 96 97 B2 M6 V1 V4 DCCirculator,Blue/Orange/Silver Lines: Potomac Avenue Station,436,0%,68%,6%,0%,21%,5%,0%,2%,6%,32%,30%,10%,10%,15%,25%,28%,26%,41%,34%,7%,5%,23%,27%,23%,23%,5%,13%,15%,19%,23%,26%,32%,38%,28%,4%,3%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,3%,1%,13%,3%,5%,4%,0%,0%,0%,83%,80%,85%,84%,88%,89%,100%,85%,92%
Deal Middle School,405,20016,-77.07519907,38.95289674,3,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,30N 30S 31 33 37 96 D31 D32 D33 D34 H2 H3 H4 L1 L2 M4 N2,Red Line: Tenleytown station,1477,4%,29%,14%,0%,47%,5%,0%,5%,8%,12%,70%,6%,6%,12%,15%,27%,29%,47%,45%,9%,6%,23%,27%,23%,23%,5%,6%,6%,10%,12%,16%,20%,39%,42%,29%,20%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,5%,5%,19%,3%,3%,17%,0%,0%,1%,92%,89%,82%,86%,88%,75%,80%,86%,92%
Eliot-Hine Middle School,407,20002,-76.97897792,38.89243149,6,6th-8th,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,96 97 B2 D6 E32,Blue/Orange/Silver Lines: Stadium-Armory Station,200,0%,93%,4%,0%,2%,3%,0%,2%,31%,100%,28%,51%,60%,37%,25%,8%,14%,4%,1%,1%,0%,23%,27%,23%,23%,5%,34%,46%,39%,28%,19%,17%,8%,9%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,10%,10%,19%,21%,19%,17%,1%,0%,1%,65%,76%,82%,53%,76%,75%,93%,100%,92%
School Without Walls @ Francis-Stevens,409,20037,-77.052321,38.9074695,2,PK3-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,30N 30S 31 33 32 36 37 38B 39 D1 D2 D4 D5 D6 G2 H1 L1 N2 N4 N6 X1 DCCirculator,Blue/Orange/Silver Lines: Foggy Bottom/GWU Station,471,7%,50%,15%,1%,22%,6%,0%,9%,14%,35%,31%,15%,18%,17%,30%,32%,26%,31%,24%,5%,1%,23%,27%,23%,23%,5%,14%,18%,17%,26%,26%,30%,36%,24%,7%,3%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,13%,20%,15%,3%,3%,4%,0%,1%,0%,91%,88%,86%,88%,78%,85%,94%,100%,92%
Hart Middle School,413,20032,-76.99717875,38.83773787,8,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,A2 A6 A7 A8 A9 W1 W2 W3 W4,,349,0%,99%,1%,0%,0%,0%,0%,1%,24%,100%,75%,52%,56%,27%,32%,18%,11%,2%,1%,0%,0%,23%,27%,23%,23%,5%,41%,51%,37%,34%,16%,13%,6%,2%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,13%,13%,19%,29%,30%,17%,2%,3%,1%,75%,74%,82%,77%,71%,75%,96%,87%,92%
J.O. Wilson Elementary School,339,20002,-76.99658902,38.902758,6,PK3-5th,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,90 92 D4 D8 X1 X2 X3 X9,,495,1%,82%,6%,0%,7%,3%,0%,3%,15%,100%,27%,18%,14%,21%,25%,31%,27%,29%,31%,1%,4%,23%,27%,23%,23%,5%,24%,21%,19%,26%,31%,29%,23%,23%,3%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,26%,17%,13%,5%,4%,4%,0%,0%,0%,84%,79%,85%,83%,78%,89%,88%,93%,92%
Johnson Middle School,416,20020,-76.98370368,38.85133691,8,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,92 94 D51 W1 W2 W3 W4 W6 W8,,252,0%,95%,4%,0%,0%,1%,0%,0%,18%,100%,59%,57%,55%,31%,35%,11%,9%,2%,2%,0%,0%,23%,27%,23%,23%,5%,51%,59%,28%,26%,16%,10%,4%,4%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,38%,8%,19%,29%,37%,17%,2%,2%,1%,83%,80%,82%,83%,79%,75%,94%,100%,92%
Kelly Miller Middle School,421,20019,-76.93245515,38.89331541,7,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,96 97 U5 U6 U8 W4 X9,Blue/Orange/Silver Lines: Benning Rd Station,449,0%,96%,3%,0%,0%,0%,0%,2%,18%,100%,85%,40%,36%,34%,33%,20%,24%,7%,7%,0%,0%,23%,27%,23%,23%,5%,32%,38%,31%,29%,26%,26%,11%,7%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,21%,19%,32%,33%,17%,3%,5%,1%,75%,76%,82%,66%,68%,75%,95%,100%,92%
King Elementary School,344,20032,-76.99823899,38.84244319,8,PK3-5th,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,A2 A4 A6 A7 A8 A9 W1 W2 W3 W4,Green line: Congress Heights Station,374,0%,98%,2%,0%,0%,0%,0%,1%,12%,100%,40%,29%,32%,34%,34%,23%,21%,12%,13%,1%,1%,23%,27%,23%,23%,5%,35%,39%,30%,32%,25%,21%,10%,8%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,40%,13%,12%,10%,4%,0%,0%,0%,71%,61%,85%,85%,74%,89%,100%,100%,92%
Kramer Middle School,417,20020,-76.9801713,38.8712864,8,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,30S 32 34 92 A31 B2 M6 V2 V5 W6 DCCirculator,,193,0%,98%,2%,0%,0%,0%,0%,1%,22%,100%,73%,61%,63%,33%,28%,7%,8%,0%,0%,0%,0%,23%,27%,23%,23%,5%,53%,62%,27%,26%,17%,9%,2%,3%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,6%,19%,19%,41%,43%,17%,4%,6%,1%,63%,64%,82%,50%,60%,75%,NA,71%,92%
MacFarland Middle School,420,20011,-77.02777641,38.94360856,4,6th-7th,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,52 53 54 60 62 63 70 79 D33 S1 S2 S4 S9 W45,Green/Yellow Line: Georgia Avenue Petworth,69,0%,13%,87%,0%,0%,0%,0%,23%,10%,99%,35%,21%,NA,41%,NA,30%,NA,8%,NA,0%,NA,23%,27%,23%,23%,5%,19%,NA,25%,NA,37%,NA,19%,NA,0%,NA,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,15%,NA,19%,3%,NA,17%,0%,NA,1%,85%,NA,82%,90%,NA,75%,NA,NA,92%
Sousa Middle School,427,20019,-76.95315884,38.88389441,7,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,A31 E32 S35 U5 U6 V1 V2 V4,,255,0%,98%,2%,0%,0%,0%,0%,0%,24%,100%,68%,45%,46%,39%,38%,13%,13%,2%,3%,0%,0%,23%,27%,23%,23%,5%,42%,38%,34%,31%,13%,24%,9%,8%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,40%,29%,19%,22%,19%,17%,2%,2%,1%,74%,69%,82%,63%,67%,75%,92%,94%,92%
Stuart-Hobson Middle School (Capitol Hill Cluster),428,20002,-77.00000438,38.8962977,6,6th-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,90 92 96 97 D6 D8 X1 X2 X8 X9 DCCirculator,Red Line: Union Station,431,0%,84%,3%,0%,11%,1%,0%,1%,12%,47%,25%,30%,28%,26%,34%,27%,27%,14%,10%,4%,1%,23%,27%,23%,23%,5%,16%,25%,21%,25%,24%,26%,30%,19%,9%,5%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,4%,2%,19%,12%,12%,17%,0%,0%,1%,78%,81%,82%,60%,74%,75%,88%,92%,92%
West Education Campus,336,20011,-77.0324265,38.9508094,4,PK3-8th,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,52 53 54 70 79 D33 E4 S1 S2 S4 S9 W45,,315,2%,53%,34%,0%,8%,3%,0%,19%,12%,100%,55%,15%,10%,23%,37%,31%,28%,27%,23%,4%,1%,23%,27%,23%,23%,5%,13%,10%,21%,29%,29%,34%,35%,25%,3%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,10%,6%,15%,2%,6%,4%,0%,0%,0%,90%,84%,86%,93%,84%,85%,93%,88%,92%
Wheatley Education Campus,335,20002,-76.98850077,38.90411774,5,PK3-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,90 92 B2 D4 D8 X1 X2 X3 X8 X9,,321,0%,90%,7%,0%,0%,2%,0%,5%,15%,100%,66%,36%,39%,41%,41%,18%,14%,6%,6%,0%,0%,23%,27%,23%,23%,5%,34%,45%,30%,37%,27%,14%,9%,4%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,28%,30%,15%,5%,4%,4%,0%,0%,0%,81%,75%,86%,79%,75%,85%,90%,100%,92%
Whittier Education Campus,338,20011,-77.0192386,38.96585727,4,PK3-8th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,62 63 70 79,,341,0%,76%,20%,1%,1%,1%,0%,14%,22%,100%,63%,16%,28%,25%,40%,34%,21%,23%,8%,2%,3%,23%,27%,23%,23%,5%,23%,32%,22%,32%,27%,22%,26%,14%,2%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,17%,21%,15%,1%,4%,4%,0%,0%,0%,97%,95%,86%,98%,92%,85%,93%,96%,92%
Anacostia High School,450,20020,-76.98307725,38.87008406,8,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,92 A31 A32 A33 B2 V2 V5 W6 W8 DCCirculator,,449,0%,99%,1%,0%,0%,0%,0%,0%,31%,100%,76%,45%,41%,43%,51%,11%,8%,1%,0%,0%,0%,23%,27%,23%,23%,5%,70%,79%,18%,13%,9%,5%,4%,2%,0%,1%,26%,21%,21%,25%,7%,59%,42%,73%,50%,51%,74%,0%,0%,36%,69%,72%,54%,28%,29%,10%,1%,1%,1%,77%,79%,90%,69%,67%,82%,93%,87%,92%
Benjamin Banneker High School,402,20001,-77.02397697,38.92383276,1,9th-12th,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,52 53 54 63 64 70 79 H1 H2 H3 H4 H8,,482,3%,76%,18%,0%,1%,2%,0%,1%,0%,100%,NA,0%,1%,8%,7%,38%,31%,52%,59%,2%,2%,23%,27%,23%,23%,5%,1%,0%,0%,0%,9%,2%,60%,55%,30%,43%,26%,21%,21%,25%,7%,100%,100%,73%,100%,100%,74%,48%,53%,36%,6%,6%,54%,1%,1%,10%,0%,0%,1%,97%,95%,90%,85%,87%,82%,86%,93%,92%
Cardozo Education Campus,454,20009,-77.02847069,38.92217286,1,6th-12th,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,52 53 54 63 64 70 79 90 92 96 H1 H2 H3 H4 H8 S1 S2 S4 S9 X3,Green/Yellow Lines: U Street/African-American Civil War Memorial/Cardozo Station,797,1%,42%,56%,0%,1%,0%,0%,48%,22%,100%,39%,48%,55%,40%,39%,8%,4%,4%,2%,0%,0%,23%,27%,23%,23%,5%,64%,70%,14%,14%,13%,9%,8%,6%,1%,1%,26%,21%,21%,25%,7%,60%,59%,73%,68%,59%,74%,16%,2%,36%,62%,64%,57%,12%,18%,7%,0%,2%,1%,82%,77%,83%,86%,84%,84%,90%,92%,92%
Columbia Heights Education Campus,442,20010,-77.03585831,38.92954477,1,6th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,42 43 52 53 54 64 H1 H2 H3 H4 H8 S1 S2 S4 S9 DCCirculator,Green/Yellow Lines: Columbia Heights Station,1336,1%,31%,67%,0%,0%,0%,0%,35%,9%,100%,47%,22%,28%,38%,49%,26%,18%,13%,5%,1%,0%,23%,27%,23%,23%,5%,33%,35%,23%,23%,20%,24%,20%,18%,4%,1%,26%,21%,21%,25%,7%,88%,86%,73%,88%,87%,74%,23%,19%,36%,54%,49%,57%,5%,4%,7%,1%,1%,1%,84%,80%,83%,82%,82%,84%,94%,96%,92%
Coolidge High School,455,20011,-77.01957835,38.96728457,4,9th-12th,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,52 53 54 62 63 70 79,,346,0%,75%,25%,0%,0%,0%,0%,25%,24%,100%,56%,40%,41%,47%,53%,11%,5%,1%,0%,0%,0%,23%,27%,23%,23%,5%,56%,66%,15%,14%,14%,9%,11%,10%,4%,1%,26%,21%,21%,25%,7%,70%,66%,73%,70%,63%,74%,0%,4%,36%,37%,43%,54%,8%,7%,10%,0%,1%,1%,81%,80%,90%,73%,57%,82%,86%,88%,92%
