School Category,Code,Name,Total Enrolled,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN/CE
DCPS Schools ,272,Key Elementary School,417,0,40,81,56,74,68,52,46,0,0,0,0,0,0,0,0,0
DCPS Schools ,259,Kimball Elementary School @ Davis,325,25,33,38,47,38,53,56,35,0,0,0,0,0,0,0,0,0
DCPS Schools ,344,King Elementary School,346,27,35,56,49,49,38,41,51,0,0,0,0,0,0,0,0,0
DCPS Schools ,417,Kramer Middle School,194,0,0,0,0,0,0,0,0,62,67,65,0,0,0,0,0,0
DCPS Schools ,261,Lafayette Elementary School,816,0,97,141,139,117,127,89,106,0,0,0,0,0,0,0,0,0
DCPS Schools ,262,Langdon Elementary School,324,39,40,50,34,44,42,33,42,0,0,0,0,0,0,0,0,0
DCPS Schools ,370,Langley Elementary School,275,41,26,39,20,32,35,34,48,0,0,0,0,0,0,0,0,0
DCPS Schools ,264,LaSalle-Backus Education Campus,363,23,25,43,33,29,28,32,33,42,39,36,0,0,0,0,0,0
DCPS Schools ,266,Leckie Education Campus,558,42,57,65,68,62,60,58,50,35,31,30,0,0,0,0,0,0
DCPS Schools ,271,Ludlow-Taylor Elementary School,414,47,62,58,62,37,56,49,43,0,0,0,0,0,0,0,0,0
DCPS Schools ,884,Luke C. Moore High School,251,0,0,0,0,0,0,0,0,0,0,0,66,64,63,58,0,0
DCPS Schools ,420,MacFarland Middle School,132,0,0,0,0,0,0,0,0,62,70,0,0,0,0,0,0,0
DCPS Schools ,308,Malcolm X Elementary School @ Green,256,27,31,36,33,33,38,28,30,0,0,0,0,0,0,0,0,0
DCPS Schools ,273,Mann Elementary School,400,0,40,63,67,73,59,50,48,0,0,0,0,0,0,0,0,0
DCPS Schools ,284,Marie Reed Elementary School,427,48,53,61,55,62,47,54,47,0,0,0,0,0,0,0,0,0
DCPS Schools ,274,Maury Elementary School,407,39,47,64,62,54,52,48,41,0,0,0,0,0,0,0,0,0
DCPS Schools ,435,McKinley Middle School,241,0,0,0,0,0,0,0,0,76,92,73,0,0,0,0,0,0
DCPS Schools ,458,McKinley Technology High School,620,0,0,0,0,0,0,0,0,0,0,0,190,142,148,140,0,0
DCPS Schools ,280,Miner Elementary School,345,46,50,51,36,41,38,43,40,0,0,0,0,0,0,0,0,0
DCPS Schools ,285,Moten Elementary School,401,40,41,49,60,48,63,53,47,0,0,0,0,0,0,0,0,0
DCPS Schools ,287,Murch Elementary School @ UDC,573,0,60,73,87,84,87,91,91,0,0,0,0,0,0,0,0,0
DCPS Schools ,288,Nalle Elementary School,387,41,49,45,53,58,37,55,49,0,0,0,0,0,0,0,0,0
DCPS Schools ,290,Noyes Elementary School,195,18,21,31,29,24,25,31,16,0,0,0,0,0,0,0,0,0
DCPS Schools ,291,Orr Elementary School,404,39,51,49,60,57,46,48,54,0,0,0,0,0,0,0,0,0
DCPS Schools ,292,Oyster-Adams Bilingual School,677,4,37,76,69,81,63,70,73,70,68,66,0,0,0,0,0,0
DCPS Schools ,294,Patterson Elementary School,374,30,49,53,50,47,50,42,53,0,0,0,0,0,0,0,0,0
DCPS Schools ,295,Payne Elementary School,315,38,34,41,45,34,42,42,39,0,0,0,0,0,0,0,0,0
DCPS Schools ,301,Peabody Elementary School (Capitol Hill Cluster),227,60,80,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
